Année,Tournoi,Tour,Joueur_1,Joueur_2,Res_1,Res_2,Cote_1,Cote_2,Tournoi_type
2021,acapulco,16,1,0,2,0,1.05,10.65,0
2021,acapulco,16,0,0,2,0,1.55,2.47,0
2021,acapulco,16,0,35,0,2,2.06,1.77,0
2021,acapulco,16,0,7,0,2,4.0,1.25,0
2021,acapulco,16,3,34,1,2,1.27,3.83,0
2021,acapulco,16,34,0,1,2,2.02,1.8,0
2021,acapulco,16,0,0,2,0,1.4,2.99,0
2021,acapulco,16,6,0,2,0,1.7,2.16,0
2021,acapulco,16,0,34,2,0,1.16,5.19,0
2021,acapulco,16,35,0,0,2,5.42,1.15,0
2021,acapulco,16,0,4,0,2,3.47,1.31,0
2021,acapulco,16,8,38,2,0,1.25,3.98,0
2021,acapulco,16,34,34,1,2,2.25,1.64,0
2021,acapulco,16,0,0,0,2,1.9,1.91,0
2021,acapulco,16,35,2,0,2,5.48,1.15,0
2021,acapulco,8,1,0,2,0,1.23,4.19,0
2021,acapulco,8,0,7,0,2,2.34,1.59,0
2021,acapulco,8,0,0,2,1,2.33,1.6,0
2021,acapulco,8,0,5,0,2,2.48,1.55,0
2021,acapulco,8,6,0,0,2,1.72,2.13,0
2021,acapulco,8,0,4,2,0,6.62,1.11,0
2021,acapulco,8,8,0,2,1,1.4,2.94,0
2021,acapulco,8,0,2,0,2,8.36,1.08,0
2021,acapulco,4,1,7,2,1,1.36,3.2,0
2021,acapulco,4,0,5,2,0,3.68,1.29,0
2021,acapulco,4,0,0,0,2,1.6,2.34,0
2021,acapulco,2,1,0,2,0,1.15,5.55,0
2021,acapulco,2,0,2,0,2,5.33,1.16,0
2021,acapulco,1,1,2,0,2,1.49,2.64,0
2020,acapulco,16,1,0,2,0,1.03,13.8,0
2020,acapulco,16,0,0,1,2,1.77,2.04,0
2020,acapulco,16,36,0,1,2,2.64,1.48,0
2020,acapulco,16,0,8,1,2,1.74,2.08,0
2020,acapulco,16,3,0,2,1,1.41,2.93,0
2020,acapulco,16,0,38,0,2,1.71,2.12,0
2020,acapulco,16,35,0,1,2,1.94,1.84,0
2020,acapulco,16,34,7,0,2,3.41,1.32,0
2020,acapulco,16,0,0,2,1,1.88,1.9,0
2020,acapulco,16,0,0,2,0,1.33,3.24,0
2020,acapulco,16,36,4,0,2,2.86,1.41,0
2020,acapulco,16,5,35,2,0,1.36,3.15,0
2020,acapulco,16,34,35,2,0,1.11,6.79,0
2020,acapulco,16,34,37,2,1,1.41,2.88,0
2020,acapulco,16,34,2,0,2,5.11,1.17,0
2020,acapulco,8,1,0,2,0,1.07,8.4,0
2020,acapulco,8,0,8,2,0,1.89,1.89,0
2020,acapulco,8,3,0,2,0,1.14,5.83,0
2020,acapulco,8,0,7,1,2,3.19,1.35,0
2020,acapulco,8,0,0,0,2,1.69,2.09,0
2020,acapulco,8,0,4,2,0,1.67,2.18,0
2020,acapulco,8,5,0,2,0,1.28,3.65,0
2020,acapulco,8,0,2,2,0,4.18,1.23,0
2020,acapulco,4,1,0,2,0,1.05,10.8,0
2020,acapulco,4,3,7,0,2,1.55,2.44,0
2020,acapulco,4,0,0,2,0,2.27,1.63,0
2020,acapulco,4,5,0,2,1,1.73,2.11,0
2020,acapulco,2,1,7,2,0,1.12,6.59,0
2020,acapulco,2,0,5,2,1,1.88,1.94,0
2020,acapulco,1,1,0,2,0,1.07,8.9,0
2019,acapulco,16,1,0,2,0,1.05,10.6,0
2019,acapulco,16,0,0,2,0,1.96,1.83,0
2019,acapulco,16,34,0,0,2,3.2,1.35,0
2019,acapulco,16,35,7,0,2,6.43,1.12,0
2019,acapulco,16,3,0,2,1,1.33,3.32,0
2019,acapulco,16,0,36,2,0,1.31,3.38,0
2019,acapulco,16,34,0,1,2,3.69,1.28,0
2019,acapulco,16,34,8,0,2,3.25,1.34,0
2019,acapulco,16,6,0,2,1,1.63,2.25,0
2019,acapulco,16,38,35,2,0,1.07,8.87,0
2019,acapulco,16,0,0,2,1,2.19,1.67,0
2019,acapulco,16,0,4,1,2,2.16,1.68,0
2019,acapulco,16,5,0,2,0,1.28,3.7,0
2019,acapulco,16,0,0,1,2,1.77,2.03,0
2019,acapulco,16,0,35,0,2,2.37,1.58,0
2019,acapulco,16,34,2,0,2,5.05,1.17,0
2019,acapulco,8,1,0,1,2,1.25,3.91,0
2019,acapulco,8,0,7,2,0,1.28,3.69,0
2019,acapulco,8,3,0,2,0,1.96,1.82,0
2019,acapulco,8,0,8,0,2,2.79,1.43,0
2019,acapulco,8,6,0,1,2,1.62,2.27,0
2019,acapulco,8,0,4,2,1,2.06,1.76,0
2019,acapulco,8,0,2,0,2,4.6,1.2,0
2019,acapulco,4,0,0,2,1,2.5,1.52,0
2019,acapulco,4,3,8,2,1,1.63,2.27,0
2019,acapulco,4,0,0,0,2,2.2,1.67,0
2019,acapulco,4,5,2,0,2,3.26,1.34,0
2019,acapulco,2,0,3,2,1,1.74,2.11,0
2019,acapulco,2,0,2,0,2,5.02,1.18,0
2019,acapulco,1,0,2,2,0,2.74,1.46,0
2018,acapulco,16,36,0,1,2,2.82,1.43,0
2018,acapulco,16,34,35,0,2,2.14,1.68,0
2018,acapulco,16,0,7,2,1,4.08,1.24,0
